participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-01,T30 M150,30.0,4.245845246405658
sub-01,T30 M150,63.0,4.658441678920053
sub-01,T30 M150,99.0,4.6346044863046805
sub-01,T30 M150,139.0,1.6558230980895148
sub-01,T30 M150,183.0,2.080278436835533
sub-01,T30 M150,231.0,1.5963902628797482
sub-01,T30 M150,284.0,1.441689093318896
sub-01,T30 M150,342.0,1.92463058897587
sub-01,T30 M150,407.0,2.518463001440346
sub-01,T30 M150,478.0,3.2571662171253593
sub-01,T30 M150,556.0,3.8830813379373663
sub-01,T30 M150,643.0,3.860381609079025
sub-01,T30 M150,739.0,4.221562005403948
sub-01,T30 M150,845.0,6.937574206600269
sub-01,T30 M150,963.0,8.679165207597407
sub-01,T30 M150,1094.0,10.091776482317815
sub-01,T30 M150,1240.0,11.635502855450635
sub-01,T30 M150,1403.0,11.525595181501842
sub-01,T30 M150,1585.0,10.179007172406608
sub-01,T30 M150,1788.0,3.1023434816920368
sub-01,T30 M150,2017.0,3.864859695508583
sub-01,T30 M150,2274.0,10.282892919376184
sub-01,T30 M150,2565.0,14.67098864008917
sub-01,T30 M150,2894.0,9.278824177230115
sub-01,T30 M150,3270.0,2.929398456691888
sub-01,T30 M150,3699.0,2.381489317412096
sub-01,T30 M150,4192.0,7.919563854916277
sub-01,T30 M150,4763.0,17.032290702969092
sub-01,T30 M150,5428.0,13.690945485410854
sub-01,T30 M150,6210.0,2.019438039609475
sub-01,T30 M150,7138.0,18.049711936074942
sub-01,T30 M150,8252.0,4.975667264705477
sub-01,T30 M150,9607.0,-3.6520606024736697
sub-01,T30 M150,11287.0,-4.035468426940258
sub-01,T30 M150,13411.0,-8.660317342591407
sub-01,T30 M150,16171.0,-10.36883548439011
sub-01,T30 M150,19885.0,9.355346693785572
sub-01,T150 M30,30.0,-1.6577252562562563
sub-01,T150 M30,63.0,-1.9429109039036447
sub-01,T150 M30,99.0,-1.825910955176464
sub-01,T150 M30,139.0,-1.6018877063634926
sub-01,T150 M30,183.0,-1.631090299134791
sub-01,T150 M30,231.0,-0.0672458065767984
sub-01,T150 M30,284.0,0.9253224241048008
sub-01,T150 M30,342.0,2.187886866932353
sub-01,T150 M30,407.0,2.626706340696326
sub-01,T150 M30,478.0,4.579830909037132
sub-01,T150 M30,556.0,5.841131533395788
sub-01,T150 M30,643.0,6.264741602484261
sub-01,T150 M30,739.0,5.833777549767649
sub-01,T150 M30,845.0,6.784135292639124
sub-01,T150 M30,963.0,6.275805885602717
sub-01,T150 M30,1094.0,5.194430904966184
sub-01,T150 M30,1240.0,9.161270323572786
sub-01,T150 M30,1403.0,12.120375625525948
sub-01,T150 M30,1585.0,8.908386157218008
sub-01,T150 M30,1788.0,2.8642687044657413
sub-01,T150 M30,2017.0,-0.1576553088447527
sub-01,T150 M30,2274.0,5.390492581357936
sub-01,T150 M30,2565.0,4.013342128376725
sub-01,T150 M30,2894.0,5.6010702318255845
sub-01,T150 M30,3270.0,1.7828781339294697
sub-01,T150 M30,3699.0,5.4750731812099644
sub-01,T150 M30,4192.0,5.178895183516311
sub-01,T150 M30,4763.0,3.440172861193065
sub-01,T150 M30,5428.0,1.2428887640253714
sub-01,T150 M30,6210.0,-7.61655055547333
sub-01,T150 M30,7138.0,6.897236353583715
sub-01,T150 M30,8252.0,5.9932098237749205
sub-01,T150 M30,9607.0,4.955048047563294
sub-01,T150 M30,11287.0,11.175003911536653
sub-01,T150 M30,13411.0,12.35751998799332
sub-01,T150 M30,16171.0,6.494629025082007
sub-01,T150 M30,19885.0,12.990697592701352
