participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-02,1,before,individual,30,30,0,-4.26523732891823
sub-02,2,before,optimised,30,30,0,-4.55908930311373
sub-02,3,before,optimised,150,30,1,0.338055441718311
sub-02,4,before,individual,30,150,0,-5.75144171934616
sub-02,5,before,optimised,30,30,1,-2.06256722717358
sub-02,6,before,individual,30,30,0,-2.24710738503532
sub-02,7,before,optimised,30,150,1,0.0781984698616337
sub-02,8,before,individual,150,30,0,-2.66515391847836
sub-02,9,before,individual,150,30,0,-2.66515391847836
sub-02,10,before,individual,150,30,0,-3.01771906016003
sub-02,11,before,individual,30,30,0,-4.43082091432563
sub-02,12,before,optimised,30,150,0,0.458129590219925
sub-02,13,before,individual,150,30,0,-6.98111325623835
sub-02,14,before,optimised,30,150,1,0.57304611517634
sub-02,15,before,optimised,30,150,1,0.563280101535338
sub-02,16,before,individual,30,150,0,-4.72465472219331
sub-02,17,before,optimised,150,30,0,-0.0794575727495582
sub-02,18,before,individual,150,30,1,-2.48182940099491
sub-02,19,before,individual,30,150,0,-5.47910211520125
sub-02,20,before,optimised,30,150,0,-3.44763004151015
sub-02,21,before,individual,30,150,1,-5.4020467889487
sub-02,22,before,optimised,30,30,0,-4.3304654512596
sub-02,23,before,individual,30,30,0,-6.97471257421082
sub-02,24,before,optimised,150,30,1,0.105568603235484
sub-02,25,before,optimised,150,30,0,-4.1669289034994
sub-02,26,before,individual,30,30,0,-3.80185647467619
sub-02,27,before,individual,30,30,0,-4.92950227849064
sub-02,28,before,optimised,30,30,0,-6.81483338055886
sub-02,29,before,optimised,150,30,1,0.356607954197823
sub-02,30,before,individual,150,30,0,-2.03819530854715
sub-02,31,before,individual,30,150,0,-9.19894958597884
sub-02,32,before,individual,150,30,1,-3.33816868044087
sub-02,33,before,individual,30,30,0,-7.03284632482501
sub-02,34,before,individual,30,30,0,-6.55064988800037
sub-02,35,before,optimised,30,30,0,-4.05640633689275
sub-02,36,before,optimised,150,30,0,0.475334267518655
sub-02,37,before,individual,30,150,1,-4.91101056589909
sub-02,38,before,individual,30,30,0,-9.11327863377161
sub-02,39,before,individual,150,30,0,-5.11176118135553
sub-02,40,before,optimised,30,30,0,-4.71169180431342
sub-02,41,before,optimised,30,150,1,1.07570708183169
sub-02,42,before,optimised,150,30,1,-0.58591898524301
sub-02,43,before,individual,150,30,0,-2.55918641573679
sub-02,44,before,individual,30,150,0,-5.31322921957068
sub-02,45,before,individual,30,150,0,-9.55850954386705
sub-02,46,before,optimised,30,30,0,-7.11491660570273
sub-02,47,before,optimised,150,30,0,-2.28133687236579
sub-02,48,before,individual,150,30,1,-0.394788041351255
sub-02,49,before,optimised,30,30,1,-6.41907420216361
sub-02,50,before,optimised,30,30,0,-8.97794034209891
sub-02,51,before,individual,150,30,0,-3.71016182771743
sub-02,52,before,individual,150,30,0,-5.39062690474943
sub-02,53,before,individual,30,30,1,-5.05404446944462
sub-02,54,before,optimised,150,30,1,0.363245519158673
sub-02,55,before,optimised,150,30,1,2.56961382457124
sub-02,56,before,individual,30,150,0,-5.78801185778624
sub-02,57,before,individual,30,150,0,-9.62167374311411
sub-02,58,before,optimised,30,30,1,-5.13493208306891
sub-02,59,before,individual,30,30,0,-9.15183908361576
sub-02,60,before,optimised,150,30,0,-0.410751291981277
sub-02,61,before,individual,30,150,0,-7.89900717911994
sub-02,62,before,optimised,150,30,0,-2.35962064632421
sub-02,63,before,optimised,150,30,0,-2.50143332569208
sub-02,64,before,individual,30,30,0,-4.54569150237216
sub-02,65,before,individual,150,30,0,-5.46246083645519
sub-02,66,before,optimised,150,30,1,-4.16099787007056
sub-02,67,before,optimised,30,150,0,0.608906525650196
sub-02,68,before,individual,30,150,0,-7.36651375372738
sub-02,69,before,optimised,30,30,1,-9.10434731294655
sub-02,70,before,individual,30,150,0,-4.24916269415587
sub-02,71,before,individual,30,150,0,-2.74824450034339
sub-02,72,before,optimised,150,30,1,-1.72912563431105
sub-02,73,before,individual,30,150,0,-7.44262182788043
sub-02,74,before,optimised,30,30,0,-4.46006136679459
sub-02,75,before,optimised,30,150,0,-3.5878502470384
sub-02,76,before,individual,30,30,0,-7.32069914126842
sub-02,77,before,optimised,30,30,0,-7.35964022970308
sub-02,78,before,optimised,30,150,0,0.117995804294637
sub-02,79,before,individual,150,30,1,-7.15330330939896
sub-02,80,before,optimised,30,150,0,-3.68496767275192
sub-02,81,before,individual,30,30,0,-4.86592433732605
sub-02,82,before,individual,30,30,0,-5.53898438482728
sub-02,83,before,individual,30,30,0,-5.53898438482728
sub-02,84,before,optimised,150,30,1,-2.07248630171787
sub-02,85,before,optimised,30,150,0,-1.91092075254893
sub-02,86,before,optimised,30,150,0,-1.58497550806924
sub-02,87,before,individual,30,30,1,-6.88638913864431
sub-02,88,before,optimised,150,30,0,-0.387334261771821
sub-02,89,before,individual,30,150,1,-7.2776779751679
sub-02,90,before,optimised,30,30,0,-4.84146837440312
sub-02,91,before,individual,150,30,1,-4.57308182024734
sub-02,92,before,individual,30,150,1,-7.11823368613578
sub-02,93,before,optimised,30,150,0,1.1297484156934
sub-02,94,before,optimised,150,30,0,-4.23659157227611
sub-02,95,before,optimised,30,150,1,2.98850822738931
sub-02,96,before,individual,150,30,1,-4.97997783787636
sub-02,97,before,optimised,30,150,0,-2.12731008408866
sub-02,98,before,individual,30,150,1,-9.55982246550273
sub-02,99,before,optimised,150,30,0,-0.604645700030224
