participant,trial,session,hrtf,location_deg,correct
sub-08,1,before,individual,150,1
sub-08,2,before,individual,30,0
sub-08,3,before,individual,30,1
sub-08,4,before,optimised,150,1
sub-08,5,before,individual,150,0
sub-08,6,before,individual,30,1
sub-08,7,before,optimised,150,1
sub-08,8,before,optimised,30,0
sub-08,9,before,optimised,30,1
sub-08,10,before,individual,30,1
sub-08,11,before,individual,30,1
sub-08,12,before,individual,150,1
sub-08,13,before,individual,30,1
sub-08,14,before,optimised,150,1
sub-08,15,before,individual,30,1
sub-08,16,before,optimised,150,1
sub-08,17,before,optimised,150,0
sub-08,18,before,individual,30,1
sub-08,19,before,individual,150,1
sub-08,20,before,optimised,30,0
sub-08,21,before,individual,150,1
sub-08,22,before,optimised,150,1
sub-08,23,before,optimised,30,0
sub-08,24,before,individual,150,0
sub-08,25,before,optimised,30,0
sub-08,26,before,optimised,150,1
sub-08,27,before,individual,30,1
sub-08,28,before,individual,150,1
sub-08,29,before,optimised,30,1
sub-08,30,before,individual,30,1
sub-08,31,before,optimised,150,1
sub-08,32,before,optimised,30,1
sub-08,33,before,optimised,30,0
sub-08,34,before,individual,30,1
sub-08,35,before,optimised,150,1
sub-08,36,before,optimised,30,1
sub-08,37,before,individual,150,0
sub-08,38,before,individual,30,1
sub-08,39,before,optimised,150,1
sub-08,40,before,individual,30,1
sub-08,41,before,individual,30,1
sub-08,42,before,individual,150,0
sub-08,43,before,optimised,30,1
sub-08,44,before,optimised,30,1
sub-08,45,before,individual,30,1
sub-08,46,before,individual,30,1
sub-08,47,before,individual,150,1
sub-08,48,before,optimised,30,0
sub-08,49,before,optimised,30,1
sub-08,50,before,optimised,30,0
sub-08,51,before,optimised,150,1
sub-08,52,before,optimised,150,0
sub-08,53,before,optimised,150,0
sub-08,54,before,individual,150,0
sub-08,55,before,optimised,150,0
sub-08,56,before,individual,150,1
sub-08,57,before,individual,30,1
sub-08,58,before,individual,30,1
sub-08,59,before,individual,150,0
sub-08,60,before,optimised,30,1
sub-08,61,before,optimised,150,1
sub-08,62,before,optimised,30,1
sub-08,63,before,individual,150,0
sub-08,64,before,individual,150,0
sub-08,65,before,individual,30,1
sub-08,66,before,optimised,30,1
sub-08,67,before,optimised,150,1
sub-08,68,before,optimised,30,1
sub-08,69,before,optimised,150,1
sub-08,70,before,individual,150,1
sub-08,71,before,individual,30,1
sub-08,72,before,optimised,150,1
sub-08,73,before,optimised,150,1
sub-08,74,before,individual,150,0
sub-08,75,before,individual,150,0
sub-08,76,before,optimised,30,0
sub-08,77,before,individual,150,0
sub-08,78,before,individual,150,0
sub-08,79,before,optimised,30,0
sub-08,80,before,optimised,150,1
sub-08,1,after,individual,150,1
sub-08,2,after,individual,30,0
sub-08,3,after,individual,30,1
sub-08,4,after,optimised,150,1
sub-08,5,after,individual,150,0
sub-08,6,after,individual,30,1
sub-08,7,after,optimised,150,1
sub-08,8,after,optimised,30,1
sub-08,9,after,optimised,30,1
sub-08,10,after,individual,30,1
sub-08,11,after,individual,30,1
sub-08,12,after,individual,150,1
sub-08,13,after,individual,30,0
sub-08,14,after,optimised,150,1
sub-08,15,after,individual,30,0
sub-08,16,after,optimised,150,1
sub-08,17,after,optimised,150,1
sub-08,18,after,individual,30,1
sub-08,19,after,individual,150,1
sub-08,20,after,optimised,30,1
sub-08,21,after,individual,150,0
sub-08,22,after,optimised,150,0
sub-08,23,after,optimised,30,1
sub-08,24,after,individual,150,1
sub-08,25,after,optimised,30,1
sub-08,26,after,optimised,150,0
sub-08,27,after,individual,30,1
sub-08,28,after,individual,150,0
sub-08,29,after,optimised,30,1
sub-08,30,after,individual,30,1
sub-08,31,after,optimised,150,1
sub-08,32,after,optimised,30,1
sub-08,33,after,optimised,30,1
sub-08,34,after,individual,30,1
sub-08,35,after,optimised,150,1
sub-08,36,after,optimised,30,1
sub-08,37,after,individual,150,0
sub-08,38,after,individual,30,1
sub-08,39,after,optimised,150,1
sub-08,40,after,individual,30,1
sub-08,41,after,individual,30,0
sub-08,42,after,individual,150,0
sub-08,43,after,optimised,30,1
sub-08,44,after,optimised,30,1
sub-08,45,after,individual,30,0
sub-08,46,after,individual,30,1
sub-08,47,after,individual,150,0
sub-08,48,after,optimised,30,1
sub-08,49,after,optimised,30,1
sub-08,50,after,optimised,30,1
sub-08,51,after,optimised,150,1
sub-08,52,after,optimised,150,1
sub-08,53,after,optimised,150,1
sub-08,54,after,individual,150,0
sub-08,55,after,optimised,150,1
sub-08,56,after,individual,150,1
sub-08,57,after,individual,30,0
sub-08,58,after,individual,30,0
sub-08,59,after,individual,150,0
sub-08,60,after,optimised,30,1
sub-08,61,after,optimised,150,1
sub-08,62,after,optimised,30,0
sub-08,63,after,individual,150,1
sub-08,64,after,individual,150,0
sub-08,65,after,individual,30,1
sub-08,66,after,optimised,30,1
sub-08,67,after,optimised,150,1
sub-08,68,after,optimised,30,0
sub-08,69,after,optimised,150,1
sub-08,70,after,individual,150,1
sub-08,71,after,individual,30,1
sub-08,72,after,optimised,150,1
sub-08,73,after,optimised,150,1
sub-08,74,after,individual,150,0
sub-08,75,after,individual,150,0
sub-08,76,after,optimised,30,1
sub-08,77,after,individual,150,0
sub-08,78,after,individual,150,0
sub-08,79,after,optimised,30,1
sub-08,80,after,optimised,150,1
